PublishYearMonth,Rating
162.0-6.0,3.86
1623.0-12.0,0.0
1850.0-1.0,4.5
1851.0-12.0,3.0
1852.0-1.0,2.92
1859.0-1.0,3.7
1866.0-1.0,4.11
1874.0-1.0,5.0
1880.0-1.0,0.0
1892.0-1.0,4.2
1895.0-1.0,4.54
1898.0-1.0,4.0
1899.0-1.0,3.725
1899.0-11.0,3.75
1899.0-12.0,3.4259999999999997
1900.0-1.0,3.5134999999999996
1900.0-4.0,2.5
1900.0-6.0,3.0
1901.0-1.0,3.585
1901.0-10.0,3.7
1901.0-2.0,0.0
1901.0-7.0,1.5
1904.0-1.0,3.95
1905.0-6.0,2.0833333333333335
1907.0-1.0,0.0
1910.0-1.0,2.0
1911.0-12.0,4.2
1912.0-1.0,3.9599999999999995
1912.0-12.0,1.9849999999999999
1912.0-2.0,4.08
1913.0-1.0,4.156666666666666
1913.0-12.0,4.06
1914.0-1.0,4.05
1915.0-1.0,4.29
1916.0-1.0,3.69
1916.0-12.0,0.0
1917.0-1.0,4.173333333333333
1918.0-1.0,4.2
1919.0-1.0,4.015
1919.0-12.0,4.95
1920.0-1.0,3.0423529411764707
1921.0-1.0,4.13
1921.0-12.0,4.0
1922.0-1.0,3.9175
1922.0-12.0,3.98
1922.0-2.0,4.62
1922.0-6.0,3.4
1923.0-1.0,4.004
1923.0-10.0,3.83
1923.0-12.0,0.0
1924.0-1.0,4.015
1925.0-1.0,4.163
1925.0-12.0,3.99
1926.0-1.0,4.10125
1926.0-2.0,0.0
1927.0-1.0,4.014
1927.0-12.0,4.07
1928.0-1.0,4.094444444444445
1928.0-9.0,3.87
1929.0-1.0,4.10125
1929.0-12.0,3.94
1929.0-5.0,3.88
1930.0-1.0,4.164444444444444
1930.0-5.0,3.81
1930.0-6.0,4.12
1931.0-1.0,3.572222222222222
1931.0-12.0,3.526
1931.0-3.0,0.0
1931.0-5.0,3.85
1932.0-1.0,4.0024999999999995
1932.0-11.0,4.04
1932.0-2.0,3.48
1933.0-1.0,3.973333333333333
1933.0-2.0,3.84
1934.0-1.0,3.84
1934.0-12.0,4.26
1934.0-6.0,3.64
1935.0-1.0,3.689
1935.0-12.0,4.18
1935.0-6.0,3.62
1936.0-1.0,4.255
1936.0-10.0,4.265000000000001
1936.0-6.0,4.02
1936.0-9.0,3.77
1937.0-1.0,3.832
1937.0-12.0,4.096666666666667
1937.0-3.0,3.75
1937.0-5.0,4.04
1937.0-6.0,3.07
1937.0-9.0,4.08
1938.0-1.0,4.1066666666666665
1938.0-6.0,3.81
1939.0-1.0,4.25
1939.0-10.0,3.92
1939.0-11.0,4.17
1939.0-6.0,4.02
1939.0-9.0,2.1
1940.0-1.0,3.676153846153846
1940.0-11.0,3.52
1940.0-12.0,3.71
1940.0-6.0,3.3200000000000003
1940.0-8.0,3.59
1941.0-1.0,3.91
1941.0-12.0,3.075714285714286
1941.0-4.0,4.37
1941.0-6.0,4.12
1942.0-1.0,3.358571428571429
1942.0-12.0,4.404999999999999
1942.0-7.0,3.95
1943.0-1.0,4.134
1943.0-12.0,3.96
1943.0-4.0,3.48
1943.0-6.0,4.42
1944.0-1.0,3.93
1944.0-12.0,4.46
1944.0-6.0,4.06
1944.0-9.0,4.225
1945.0-1.0,4.416666666666667
1945.0-10.0,4.244999999999999
1945.0-12.0,3.87
1945.0-3.0,3.8200000000000003
1945.0-5.0,3.8
1945.0-6.0,3.4983333333333335
1945.0-7.0,3.9600000000000004
1946.0-1.0,3.875
1946.0-10.0,3.75
1946.0-12.0,3.0
1946.0-2.0,4.67
1946.0-6.0,4.125
1946.0-8.0,4.23
1946.0-9.0,4.18
1947.0-1.0,3.3214285714285716
1947.0-10.0,4.1
1947.0-11.0,4.14
1947.0-2.0,4.02
1947.0-4.0,0.0
1947.0-6.0,4.04
1947.0-9.0,4.015
1948.0-1.0,3.668947368421053
1948.0-12.0,4.3933333333333335
1948.0-3.0,3.91
1948.0-6.0,3.8
1948.0-9.0,2.1
1949.0-1.0,3.927058823529412
1949.0-10.0,4.0
1949.0-12.0,4.025
1949.0-3.0,4.12
1949.0-5.0,3.52
1949.0-6.0,3.9939999999999998
1949.0-9.0,4.253333333333333
1950.0-1.0,2.8737037037037036
1950.0-11.0,3.81
1950.0-12.0,3.8000000000000003
1950.0-6.0,3.8
1950.0-7.0,3.763333333333333
1950.0-9.0,3.79
1951.0-1.0,3.7055
1951.0-11.0,3.11
1951.0-12.0,3.4347368421052633
1951.0-2.0,4.1
1951.0-5.0,4.17
1951.0-6.0,4.135
1951.0-8.0,3.8
1952.0-1.0,3.99125
1952.0-10.0,3.5700000000000003
1952.0-11.0,4.36
1952.0-12.0,4.024285714285715
1952.0-3.0,2.7899999999999996
1952.0-6.0,3.34
1953.0-1.0,4.269
1953.0-10.0,4.136666666666667
1953.0-11.0,3.5700000000000003
1953.0-12.0,3.8579999999999997
1953.0-3.0,3.81
1953.0-5.0,3.89
1953.0-6.0,2.96
1953.0-8.0,4.0
1953.0-9.0,4.045
1954.0-1.0,4.0
1954.0-11.0,4.07
1954.0-12.0,3.9699999999999998
1954.0-2.0,4.13
1954.0-4.0,3.925
1954.0-6.0,3.49625
1954.0-8.0,3.6533333333333338
1955.0-1.0,3.693095238095238
1955.0-10.0,3.953333333333333
1955.0-11.0,3.89
1955.0-12.0,3.00625
1955.0-2.0,4.046666666666667
1955.0-3.0,4.12
1955.0-4.0,4.055
1955.0-5.0,1.6019999999999999
1955.0-6.0,4.105
1955.0-7.0,4.0
1955.0-8.0,4.005
1955.0-9.0,4.093333333333334
1956.0-1.0,3.505
1956.0-10.0,2.64
1956.0-12.0,3.6333333333333333
1956.0-2.0,3.5400000000000005
1956.0-4.0,4.14
1956.0-5.0,3.65
1956.0-6.0,3.564285714285714
1956.0-7.0,3.97
1956.0-8.0,3.8949999999999996
1956.0-9.0,3.8725
1957.0-1.0,3.8404347826086958
1957.0-10.0,3.87
1957.0-11.0,4.8
1957.0-12.0,3.577142857142857
1957.0-3.0,3.716666666666667
1957.0-4.0,3.815
1957.0-5.0,0.0
1957.0-6.0,3.5075
1957.0-7.0,4.0
1957.0-8.0,3.716666666666667
1957.0-9.0,3.855
1958.0-1.0,3.4636842105263157
1958.0-10.0,3.3199999999999994
1958.0-11.0,4.06
1958.0-12.0,3.8939999999999997
1958.0-2.0,3.8625
1958.0-3.0,4.09
1958.0-4.0,3.8625
1958.0-5.0,4.38
1958.0-6.0,3.921111111111111
1958.0-7.0,4.0
1958.0-8.0,0.0
1958.0-9.0,3.83
1959.0-1.0,3.869090909090909
1959.0-10.0,3.6616666666666666
1959.0-11.0,4.156666666666666
1959.0-12.0,3.475
1959.0-2.0,3.8533333333333335
1959.0-3.0,4.0
1959.0-4.0,3.465
1959.0-5.0,3.86
1959.0-6.0,3.0833333333333335
1959.0-7.0,3.6633333333333336
1959.0-8.0,2.793333333333333
1959.0-9.0,4.098888888888889
1960.0-1.0,3.66421052631579
1960.0-10.0,3.8475
1960.0-11.0,3.643333333333333
1960.0-12.0,3.6509090909090904
1960.0-2.0,4.2
1960.0-3.0,2.7866666666666666
1960.0-4.0,4.185
1960.0-5.0,3.5366666666666666
1960.0-6.0,4.060588235294118
1960.0-7.0,4.005
1960.0-8.0,3.6519999999999997
1960.0-9.0,3.9475000000000002
1961.0-1.0,3.0704166666666666
1961.0-10.0,3.3528571428571428
1961.0-11.0,3.6659999999999995
1961.0-12.0,3.5535000000000005
1961.0-2.0,3.983333333333333
1961.0-3.0,4.126666666666666
1961.0-4.0,3.6550000000000002
1961.0-5.0,3.983333333333333
1961.0-6.0,3.4454545454545453
1961.0-7.0,3.85
1961.0-8.0,4.215999999999999
1961.0-9.0,3.68
1962.0-1.0,3.4674074074074075
1962.0-10.0,4.218
1962.0-11.0,3.975
1962.0-12.0,3.9992857142857146
1962.0-2.0,3.975
1962.0-3.0,3.9599999999999995
1962.0-4.0,3.5
1962.0-5.0,2.86
1962.0-6.0,3.1314285714285717
1962.0-7.0,2.555
1962.0-8.0,3.9974999999999996
1962.0-9.0,3.3414285714285716
1963.0-1.0,3.599354838709677
1963.0-10.0,3.8329999999999997
1963.0-11.0,3.985555555555556
1963.0-12.0,3.6904347826086954
1963.0-2.0,3.902
1963.0-3.0,3.9579999999999997
1963.0-4.0,3.968
1963.0-5.0,3.696
1963.0-6.0,3.3083333333333336
1963.0-8.0,3.9
1963.0-9.0,3.5450000000000004
1964.0-1.0,3.334857142857143
1964.0-10.0,3.9240000000000004
1964.0-11.0,3.64
1964.0-12.0,3.3341176470588234
1964.0-2.0,3.8633333333333333
1964.0-3.0,3.499166666666667
1964.0-4.0,2.105
1964.0-5.0,3.2733333333333334
1964.0-6.0,3.278461538461538
1964.0-7.0,3.795
1964.0-8.0,3.806
1964.0-9.0,4.073333333333333
1965.0-1.0,3.8034482758620687
1965.0-10.0,3.5980000000000003
1965.0-11.0,3.92375
1965.0-12.0,3.658636363636364
1965.0-2.0,3.811666666666667
1965.0-3.0,3.3579999999999997
